problem with field [14,11] -> [425,335]/(896, 476), color is ((211, 215, 207))
problem with field [26,12] -> [785,365]/(896, 476), color is ((119, 124, 121))
problem with field [27,12] -> [815,365]/(896, 476), color is ((119, 124, 121))
problem with field [28,12] -> [845,365]/(896, 476), color is ((119, 124, 121))
problem with field [29,12] -> [875,365]/(896, 476), color is ((119, 124, 121))
problem with field [0,13] -> [5,395]/(896, 476), color is ((119, 124, 121))
problem with field [1,13] -> [35,395]/(896, 476), color is ((119, 124, 121))
problem with field [2,13] -> [65,395]/(896, 476), color is ((119, 124, 121))
problem with field [3,13] -> [95,395]/(896, 476), color is ((119, 124, 121))
problem with field [4,13] -> [125,395]/(896, 476), color is ((119, 124, 121))
problem with field [5,13] -> [155,395]/(896, 476), color is ((119, 124, 121))
problem with field [6,13] -> [185,395]/(896, 476), color is ((119, 124, 121))
problem with field [7,13] -> [215,395]/(896, 476), color is ((119, 124, 121))
problem with field [8,13] -> [245,395]/(896, 476), color is ((119, 124, 121))
problem with field [9,13] -> [275,395]/(896, 476), color is ((119, 124, 121))
problem with field [10,13] -> [305,395]/(896, 476), color is ((119, 124, 121))
problem with field [11,13] -> [335,395]/(896, 476), color is ((119, 124, 121))
problem with field [12,13] -> [365,395]/(896, 476), color is ((119, 124, 121))
problem with field [13,13] -> [395,395]/(896, 476), color is ((119, 124, 121))
problem with field [14,13] -> [425,395]/(896, 476), color is ((119, 124, 121))
problem with field [15,13] -> [455,395]/(896, 476), color is ((119, 124, 121))
problem with field [16,13] -> [485,395]/(896, 476), color is ((119, 124, 121))
problem with field [17,13] -> [515,395]/(896, 476), color is ((119, 124, 121))
problem with field [18,13] -> [545,395]/(896, 476), color is ((119, 124, 121))
problem with field [19,13] -> [575,395]/(896, 476), color is ((119, 124, 121))
problem with field [20,13] -> [605,395]/(896, 476), color is ((119, 124, 121))
problem with field [21,13] -> [635,395]/(896, 476), color is ((119, 124, 121))
problem with field [22,13] -> [665,395]/(896, 476), color is ((119, 124, 121))
problem with field [23,13] -> [695,395]/(896, 476), color is ((119, 124, 121))
problem with field [24,13] -> [725,395]/(896, 476), color is ((119, 124, 121))
problem with field [25,13] -> [755,395]/(896, 476), color is ((119, 124, 121))
problem with field [26,13] -> [785,395]/(896, 476), color is ((119, 124, 121))
problem with field [27,13] -> [815,395]/(896, 476), color is ((119, 124, 121))
problem with field [28,13] -> [845,395]/(896, 476), color is ((119, 124, 121))
problem with field [29,13] -> [875,395]/(896, 476), color is ((119, 124, 121))
problem with field [0,14] -> [5,425]/(896, 476), color is ((119, 124, 121))
problem with field [1,14] -> [35,425]/(896, 476), color is ((119, 124, 121))
problem with field [2,14] -> [65,425]/(896, 476), color is ((119, 124, 121))
problem with field [3,14] -> [95,425]/(896, 476), color is ((119, 124, 121))
problem with field [4,14] -> [125,425]/(896, 476), color is ((119, 124, 121))
problem with field [5,14] -> [155,425]/(896, 476), color is ((119, 124, 121))
problem with field [6,14] -> [185,425]/(896, 476), color is ((119, 124, 121))
problem with field [7,14] -> [215,425]/(896, 476), color is ((119, 124, 121))
problem with field [8,14] -> [245,425]/(896, 476), color is ((119, 124, 121))
problem with field [9,14] -> [275,425]/(896, 476), color is ((119, 124, 121))
problem with field [10,14] -> [305,425]/(896, 476), color is ((119, 124, 121))
problem with field [11,14] -> [335,425]/(896, 476), color is ((119, 124, 121))
problem with field [12,14] -> [365,425]/(896, 476), color is ((119, 124, 121))
problem with field [13,14] -> [395,425]/(896, 476), color is ((119, 124, 121))
problem with field [14,14] -> [425,425]/(896, 476), color is ((119, 124, 121))
problem with field [15,14] -> [455,425]/(896, 476), color is ((119, 124, 121))
problem with field [16,14] -> [485,425]/(896, 476), color is ((119, 124, 121))
problem with field [17,14] -> [515,425]/(896, 476), color is ((119, 124, 121))
problem with field [18,14] -> [545,425]/(896, 476), color is ((119, 124, 121))
problem with field [19,14] -> [575,425]/(896, 476), color is ((119, 124, 121))
problem with field [20,14] -> [605,425]/(896, 476), color is ((119, 124, 121))
problem with field [21,14] -> [635,425]/(896, 476), color is ((119, 124, 121))
problem with field [22,14] -> [665,425]/(896, 476), color is ((119, 124, 121))
problem with field [23,14] -> [695,425]/(896, 476), color is ((119, 124, 121))
problem with field [24,14] -> [725,425]/(896, 476), color is ((119, 124, 121))
problem with field [25,14] -> [755,425]/(896, 476), color is ((119, 124, 121))
problem with field [26,14] -> [785,425]/(896, 476), color is ((119, 124, 121))
problem with field [27,14] -> [815,425]/(896, 476), color is ((119, 124, 121))
problem with field [28,14] -> [845,425]/(896, 476), color is ((119, 124, 121))
problem with field [29,14] -> [875,425]/(896, 476), color is ((119, 124, 121))
problem with field [0,15] -> [5,455]/(896, 476), color is ((119, 124, 121))
problem with field [1,15] -> [35,455]/(896, 476), color is ((119, 124, 121))
problem with field [2,15] -> [65,455]/(896, 476), color is ((119, 124, 121))
problem with field [3,15] -> [95,455]/(896, 476), color is ((119, 124, 121))
problem with field [4,15] -> [125,455]/(896, 476), color is ((119, 124, 121))
problem with field [5,15] -> [155,455]/(896, 476), color is ((119, 124, 121))
problem with field [6,15] -> [185,455]/(896, 476), color is ((119, 124, 121))
problem with field [7,15] -> [215,455]/(896, 476), color is ((119, 124, 121))
problem with field [8,15] -> [245,455]/(896, 476), color is ((119, 124, 121))
problem with field [9,15] -> [275,455]/(896, 476), color is ((119, 124, 121))
problem with field [10,15] -> [305,455]/(896, 476), color is ((119, 124, 121))
problem with field [11,15] -> [335,455]/(896, 476), color is ((119, 124, 121))
problem with field [12,15] -> [365,455]/(896, 476), color is ((119, 124, 121))
problem with field [13,15] -> [395,455]/(896, 476), color is ((119, 124, 121))
problem with field [14,15] -> [425,455]/(896, 476), color is ((119, 124, 121))
problem with field [15,15] -> [455,455]/(896, 476), color is ((119, 124, 121))
problem with field [16,15] -> [485,455]/(896, 476), color is ((119, 124, 121))
problem with field [17,15] -> [515,455]/(896, 476), color is ((119, 124, 121))
problem with field [18,15] -> [545,455]/(896, 476), color is ((119, 124, 121))
problem with field [19,15] -> [575,455]/(896, 476), color is ((119, 124, 121))
problem with field [20,15] -> [605,455]/(896, 476), color is ((119, 124, 121))
problem with field [21,15] -> [635,455]/(896, 476), color is ((119, 124, 121))
problem with field [22,15] -> [665,455]/(896, 476), color is ((119, 124, 121))
problem with field [23,15] -> [695,455]/(896, 476), color is ((119, 124, 121))
problem with field [24,15] -> [725,455]/(896, 476), color is ((119, 124, 121))
problem with field [25,15] -> [755,455]/(896, 476), color is ((119, 124, 121))
problem with field [26,15] -> [785,455]/(896, 476), color is ((119, 124, 121))
problem with field [27,15] -> [815,455]/(896, 476), color is ((119, 124, 121))
problem with field [28,15] -> [845,455]/(896, 476), color is ((119, 124, 121))
problem with field [29,15] -> [875,455]/(896, 476), color is ((119, 124, 121))
problem with field [0,0] -> [5,5]/(896, 476), color is ((119, 124, 121))
problem with field [1,0] -> [35,5]/(896, 476), color is ((119, 124, 121))
problem with field [2,0] -> [65,5]/(896, 476), color is ((119, 124, 121))
problem with field [3,0] -> [95,5]/(896, 476), color is ((119, 124, 121))
problem with field [4,0] -> [125,5]/(896, 476), color is ((119, 124, 121))
problem with field [5,0] -> [155,5]/(896, 476), color is ((119, 124, 121))
problem with field [6,0] -> [185,5]/(896, 476), color is ((119, 124, 121))
problem with field [7,0] -> [215,5]/(896, 476), color is ((119, 124, 121))
problem with field [8,0] -> [245,5]/(896, 476), color is ((119, 124, 121))
problem with field [9,0] -> [275,5]/(896, 476), color is ((119, 124, 121))
problem with field [10,0] -> [305,5]/(896, 476), color is ((119, 124, 121))
problem with field [11,0] -> [335,5]/(896, 476), color is ((119, 124, 121))
problem with field [12,0] -> [365,5]/(896, 476), color is ((119, 124, 121))
problem with field [13,0] -> [395,5]/(896, 476), color is ((119, 124, 121))
problem with field [14,0] -> [425,5]/(896, 476), color is ((119, 124, 121))
problem with field [15,0] -> [455,5]/(896, 476), color is ((119, 124, 121))
problem with field [16,0] -> [485,5]/(896, 476), color is ((119, 124, 121))
problem with field [17,0] -> [515,5]/(896, 476), color is ((119, 124, 121))
problem with field [18,0] -> [545,5]/(896, 476), color is ((119, 124, 121))
problem with field [19,0] -> [575,5]/(896, 476), color is ((119, 124, 121))
problem with field [20,0] -> [605,5]/(896, 476), color is ((119, 124, 121))
problem with field [21,0] -> [635,5]/(896, 476), color is ((119, 124, 121))
problem with field [22,0] -> [665,5]/(896, 476), color is ((119, 124, 121))
problem with field [23,0] -> [695,5]/(896, 476), color is ((119, 124, 121))
problem with field [24,0] -> [725,5]/(896, 476), color is ((119, 124, 121))
problem with field [25,0] -> [755,5]/(896, 476), color is ((119, 124, 121))
problem with field [26,0] -> [785,5]/(896, 476), color is ((119, 124, 121))
problem with field [27,0] -> [815,5]/(896, 476), color is ((119, 124, 121))
problem with field [28,0] -> [845,5]/(896, 476), color is ((119, 124, 121))
problem with field [29,0] -> [875,5]/(896, 476), color is ((119, 124, 121))
problem with field [0,1] -> [5,35]/(896, 476), color is ((119, 124, 121))
problem with field [1,1] -> [35,35]/(896, 476), color is ((119, 124, 121))
problem with field [2,1] -> [65,35]/(896, 476), color is ((119, 124, 121))
problem with field [3,1] -> [95,35]/(896, 476), color is ((119, 124, 121))
problem with field [4,1] -> [125,35]/(896, 476), color is ((119, 124, 121))
problem with field [5,1] -> [155,35]/(896, 476), color is ((119, 124, 121))
problem with field [6,1] -> [185,35]/(896, 476), color is ((119, 124, 121))
problem with field [7,1] -> [215,35]/(896, 476), color is ((119, 124, 121))
problem with field [8,1] -> [245,35]/(896, 476), color is ((119, 124, 121))
problem with field [9,1] -> [275,35]/(896, 476), color is ((119, 124, 121))
problem with field [10,1] -> [305,35]/(896, 476), color is ((119, 124, 121))
problem with field [11,1] -> [335,35]/(896, 476), color is ((119, 124, 121))
problem with field [12,1] -> [365,35]/(896, 476), color is ((119, 124, 121))
problem with field [13,1] -> [395,35]/(896, 476), color is ((119, 124, 121))
problem with field [14,1] -> [425,35]/(896, 476), color is ((119, 124, 121))
problem with field [15,1] -> [455,35]/(896, 476), color is ((119, 124, 121))
problem with field [16,1] -> [485,35]/(896, 476), color is ((119, 124, 121))
problem with field [17,1] -> [515,35]/(896, 476), color is ((119, 124, 121))
problem with field [18,1] -> [545,35]/(896, 476), color is ((119, 124, 121))
problem with field [19,1] -> [575,35]/(896, 476), color is ((119, 124, 121))
problem with field [20,1] -> [605,35]/(896, 476), color is ((119, 124, 121))
problem with field [21,1] -> [635,35]/(896, 476), color is ((119, 124, 121))
problem with field [22,1] -> [665,35]/(896, 476), color is ((119, 124, 121))
problem with field [23,1] -> [695,35]/(896, 476), color is ((119, 124, 121))
problem with field [24,1] -> [725,35]/(896, 476), color is ((119, 124, 121))
problem with field [25,1] -> [755,35]/(896, 476), color is ((119, 124, 121))
problem with field [26,1] -> [785,35]/(896, 476), color is ((119, 124, 121))
problem with field [27,1] -> [815,35]/(896, 476), color is ((119, 124, 121))
problem with field [28,1] -> [845,35]/(896, 476), color is ((119, 124, 121))
problem with field [29,1] -> [875,35]/(896, 476), color is ((119, 124, 121))
problem with field [0,2] -> [5,65]/(896, 476), color is ((119, 124, 121))
problem with field [1,2] -> [35,65]/(896, 476), color is ((119, 124, 121))
problem with field [2,2] -> [65,65]/(896, 476), color is ((119, 124, 121))
problem with field [3,2] -> [95,65]/(896, 476), color is ((119, 124, 121))
problem with field [4,2] -> [125,65]/(896, 476), color is ((119, 124, 121))
problem with field [5,2] -> [155,65]/(896, 476), color is ((119, 124, 121))
problem with field [6,2] -> [185,65]/(896, 476), color is ((119, 124, 121))
problem with field [7,2] -> [215,65]/(896, 476), color is ((119, 124, 121))
problem with field [8,2] -> [245,65]/(896, 476), color is ((119, 124, 121))
problem with field [9,2] -> [275,65]/(896, 476), color is ((119, 124, 121))
problem with field [10,2] -> [305,65]/(896, 476), color is ((119, 124, 121))
problem with field [11,2] -> [335,65]/(896, 476), color is ((119, 124, 121))
problem with field [12,2] -> [365,65]/(896, 476), color is ((119, 124, 121))
problem with field [13,2] -> [395,65]/(896, 476), color is ((119, 124, 121))
problem with field [14,2] -> [425,65]/(896, 476), color is ((119, 124, 121))
problem with field [15,2] -> [455,65]/(896, 476), color is ((119, 124, 121))
problem with field [16,2] -> [485,65]/(896, 476), color is ((119, 124, 121))
problem with field [17,2] -> [515,65]/(896, 476), color is ((119, 124, 121))
problem with field [18,2] -> [545,65]/(896, 476), color is ((119, 124, 121))
problem with field [19,2] -> [575,65]/(896, 476), color is ((119, 124, 121))
problem with field [20,2] -> [605,65]/(896, 476), color is ((119, 124, 121))
problem with field [21,2] -> [635,65]/(896, 476), color is ((119, 124, 121))
problem with field [22,2] -> [665,65]/(896, 476), color is ((119, 124, 121))
problem with field [23,2] -> [695,65]/(896, 476), color is ((119, 124, 121))
problem with field [24,2] -> [725,65]/(896, 476), color is ((119, 124, 121))
problem with field [25,2] -> [755,65]/(896, 476), color is ((119, 124, 121))
problem with field [26,2] -> [785,65]/(896, 476), color is ((119, 124, 121))
problem with field [27,2] -> [815,65]/(896, 476), color is ((119, 124, 121))
problem with field [28,2] -> [845,65]/(896, 476), color is ((119, 124, 121))
problem with field [29,2] -> [875,65]/(896, 476), color is ((119, 124, 121))
problem with field [0,3] -> [5,95]/(896, 476), color is ((119, 124, 121))
problem with field [1,3] -> [35,95]/(896, 476), color is ((119, 124, 121))
problem with field [2,3] -> [65,95]/(896, 476), color is ((119, 124, 121))
problem with field [3,3] -> [95,95]/(896, 476), color is ((119, 124, 121))
problem with field [4,3] -> [125,95]/(896, 476), color is ((119, 124, 121))
problem with field [5,3] -> [155,95]/(896, 476), color is ((119, 124, 121))
problem with field [6,3] -> [185,95]/(896, 476), color is ((119, 124, 121))
problem with field [7,3] -> [215,95]/(896, 476), color is ((119, 124, 121))
problem with field [8,3] -> [245,95]/(896, 476), color is ((119, 124, 121))
problem with field [9,3] -> [275,95]/(896, 476), color is ((119, 124, 121))
problem with field [10,3] -> [305,95]/(896, 476), color is ((119, 124, 121))
problem with field [11,3] -> [335,95]/(896, 476), color is ((119, 124, 121))
problem with field [12,3] -> [365,95]/(896, 476), color is ((119, 124, 121))
problem with field [13,3] -> [395,95]/(896, 476), color is ((119, 124, 121))
problem with field [14,3] -> [425,95]/(896, 476), color is ((119, 124, 121))
problem with field [15,3] -> [455,95]/(896, 476), color is ((119, 124, 121))
problem with field [16,3] -> [485,95]/(896, 476), color is ((119, 124, 121))
problem with field [17,3] -> [515,95]/(896, 476), color is ((119, 124, 121))
problem with field [18,3] -> [545,95]/(896, 476), color is ((119, 124, 121))
problem with field [19,3] -> [575,95]/(896, 476), color is ((119, 124, 121))
problem with field [20,3] -> [605,95]/(896, 476), color is ((119, 124, 121))
problem with field [21,3] -> [635,95]/(896, 476), color is ((119, 124, 121))
problem with field [22,3] -> [665,95]/(896, 476), color is ((119, 124, 121))
problem with field [23,3] -> [695,95]/(896, 476), color is ((119, 124, 121))
problem with field [24,3] -> [725,95]/(896, 476), color is ((119, 124, 121))
problem with field [25,3] -> [755,95]/(896, 476), color is ((119, 124, 121))
problem with field [26,3] -> [785,95]/(896, 476), color is ((119, 124, 121))
problem with field [27,3] -> [815,95]/(896, 476), color is ((119, 124, 121))
problem with field [28,3] -> [845,95]/(896, 476), color is ((119, 124, 121))
problem with field [29,3] -> [875,95]/(896, 476), color is ((119, 124, 121))
problem with field [0,4] -> [5,125]/(896, 476), color is ((119, 124, 121))
problem with field [1,4] -> [35,125]/(896, 476), color is ((119, 124, 121))
problem with field [2,4] -> [65,125]/(896, 476), color is ((119, 124, 121))
problem with field [3,4] -> [95,125]/(896, 476), color is ((119, 124, 121))
problem with field [4,4] -> [125,125]/(896, 476), color is ((119, 124, 121))
problem with field [5,4] -> [155,125]/(896, 476), color is ((119, 124, 121))
problem with field [6,4] -> [185,125]/(896, 476), color is ((119, 124, 121))
problem with field [7,4] -> [215,125]/(896, 476), color is ((119, 124, 121))
problem with field [8,4] -> [245,125]/(896, 476), color is ((119, 124, 121))
problem with field [9,4] -> [275,125]/(896, 476), color is ((119, 124, 121))
problem with field [10,4] -> [305,125]/(896, 476), color is ((119, 124, 121))
problem with field [11,4] -> [335,125]/(896, 476), color is ((119, 124, 121))
problem with field [12,4] -> [365,125]/(896, 476), color is ((119, 124, 121))
problem with field [13,4] -> [395,125]/(896, 476), color is ((119, 124, 121))
problem with field [14,4] -> [425,125]/(896, 476), color is ((119, 124, 121))
problem with field [15,4] -> [455,125]/(896, 476), color is ((119, 124, 121))
problem with field [16,4] -> [485,125]/(896, 476), color is ((119, 124, 121))
problem with field [17,4] -> [515,125]/(896, 476), color is ((119, 124, 121))
problem with field [18,4] -> [545,125]/(896, 476), color is ((119, 124, 121))
problem with field [19,4] -> [575,125]/(896, 476), color is ((119, 124, 121))
problem with field [20,4] -> [605,125]/(896, 476), color is ((119, 124, 121))
problem with field [21,4] -> [635,125]/(896, 476), color is ((119, 124, 121))
problem with field [22,4] -> [665,125]/(896, 476), color is ((119, 124, 121))
problem with field [23,4] -> [695,125]/(896, 476), color is ((119, 124, 121))
problem with field [24,4] -> [725,125]/(896, 476), color is ((119, 124, 121))
problem with field [25,4] -> [755,125]/(896, 476), color is ((119, 124, 121))
problem with field [26,4] -> [785,125]/(896, 476), color is ((119, 124, 121))
problem with field [27,4] -> [815,125]/(896, 476), color is ((119, 124, 121))
problem with field [28,4] -> [845,125]/(896, 476), color is ((119, 124, 121))
problem with field [29,4] -> [875,125]/(896, 476), color is ((119, 124, 121))
problem with field [0,5] -> [5,155]/(896, 476), color is ((119, 124, 121))
problem with field [1,5] -> [35,155]/(896, 476), color is ((119, 124, 121))
problem with field [2,5] -> [65,155]/(896, 476), color is ((119, 124, 121))
problem with field [3,5] -> [95,155]/(896, 476), color is ((119, 124, 121))
problem with field [4,5] -> [125,155]/(896, 476), color is ((119, 124, 121))
problem with field [5,5] -> [155,155]/(896, 476), color is ((119, 124, 121))
problem with field [6,5] -> [185,155]/(896, 476), color is ((119, 124, 121))
problem with field [7,5] -> [215,155]/(896, 476), color is ((119, 124, 121))
problem with field [8,5] -> [245,155]/(896, 476), color is ((119, 124, 121))
problem with field [9,5] -> [275,155]/(896, 476), color is ((119, 124, 121))
problem with field [10,5] -> [305,155]/(896, 476), color is ((119, 124, 121))
problem with field [11,5] -> [335,155]/(896, 476), color is ((119, 124, 121))
problem with field [12,5] -> [365,155]/(896, 476), color is ((119, 124, 121))
problem with field [13,5] -> [395,155]/(896, 476), color is ((119, 124, 121))
problem with field [14,5] -> [425,155]/(896, 476), color is ((119, 124, 121))
problem with field [15,5] -> [455,155]/(896, 476), color is ((119, 124, 121))
problem with field [16,5] -> [485,155]/(896, 476), color is ((119, 124, 121))
problem with field [17,5] -> [515,155]/(896, 476), color is ((119, 124, 121))
problem with field [18,5] -> [545,155]/(896, 476), color is ((119, 124, 121))
problem with field [19,5] -> [575,155]/(896, 476), color is ((119, 124, 121))
problem with field [20,5] -> [605,155]/(896, 476), color is ((119, 124, 121))
problem with field [21,5] -> [635,155]/(896, 476), color is ((119, 124, 121))
problem with field [22,5] -> [665,155]/(896, 476), color is ((119, 124, 121))
problem with field [23,5] -> [695,155]/(896, 476), color is ((119, 124, 121))
problem with field [24,5] -> [725,155]/(896, 476), color is ((119, 124, 121))
problem with field [25,5] -> [755,155]/(896, 476), color is ((119, 124, 121))
problem with field [26,5] -> [785,155]/(896, 476), color is ((119, 124, 121))
problem with field [27,5] -> [815,155]/(896, 476), color is ((119, 124, 121))
problem with field [28,5] -> [845,155]/(896, 476), color is ((119, 124, 121))
problem with field [29,5] -> [875,155]/(896, 476), color is ((119, 124, 121))
problem with field [0,6] -> [5,185]/(896, 476), color is ((119, 124, 121))
problem with field [1,6] -> [35,185]/(896, 476), color is ((119, 124, 121))
problem with field [2,6] -> [65,185]/(896, 476), color is ((119, 124, 121))
problem with field [3,6] -> [95,185]/(896, 476), color is ((119, 124, 121))
problem with field [4,6] -> [125,185]/(896, 476), color is ((119, 124, 121))
problem with field [5,6] -> [155,185]/(896, 476), color is ((119, 124, 121))
problem with field [6,6] -> [185,185]/(896, 476), color is ((119, 124, 121))
problem with field [7,6] -> [215,185]/(896, 476), color is ((119, 124, 121))
problem with field [8,6] -> [245,185]/(896, 476), color is ((119, 124, 121))
problem with field [9,6] -> [275,185]/(896, 476), color is ((119, 124, 121))
problem with field [10,6] -> [305,185]/(896, 476), color is ((119, 124, 121))
problem with field [11,6] -> [335,185]/(896, 476), color is ((119, 124, 121))
problem with field [12,6] -> [365,185]/(896, 476), color is ((119, 124, 121))
problem with field [13,6] -> [395,185]/(896, 476), color is ((119, 124, 121))
problem with field [14,6] -> [425,185]/(896, 476), color is ((119, 124, 121))
problem with field [15,6] -> [455,185]/(896, 476), color is ((119, 124, 121))
problem with field [16,6] -> [485,185]/(896, 476), color is ((119, 124, 121))
problem with field [17,6] -> [515,185]/(896, 476), color is ((119, 124, 121))
problem with field [18,6] -> [545,185]/(896, 476), color is ((119, 124, 121))
problem with field [19,6] -> [575,185]/(896, 476), color is ((119, 124, 121))
problem with field [20,6] -> [605,185]/(896, 476), color is ((119, 124, 121))
problem with field [21,6] -> [635,185]/(896, 476), color is ((119, 124, 121))
problem with field [22,6] -> [665,185]/(896, 476), color is ((119, 124, 121))
problem with field [23,6] -> [695,185]/(896, 476), color is ((119, 124, 121))
problem with field [24,6] -> [725,185]/(896, 476), color is ((119, 124, 121))
problem with field [25,6] -> [755,185]/(896, 476), color is ((119, 124, 121))
problem with field [26,6] -> [785,185]/(896, 476), color is ((119, 124, 121))
problem with field [27,6] -> [815,185]/(896, 476), color is ((119, 124, 121))
problem with field [28,6] -> [845,185]/(896, 476), color is ((119, 124, 121))
problem with field [29,6] -> [875,185]/(896, 476), color is ((119, 124, 121))
problem with field [0,7] -> [5,215]/(896, 476), color is ((119, 124, 121))
problem with field [1,7] -> [35,215]/(896, 476), color is ((119, 124, 121))
problem with field [2,7] -> [65,215]/(896, 476), color is ((119, 124, 121))
problem with field [3,7] -> [95,215]/(896, 476), color is ((119, 124, 121))
problem with field [4,7] -> [125,215]/(896, 476), color is ((119, 124, 121))
problem with field [5,7] -> [155,215]/(896, 476), color is ((119, 124, 121))
problem with field [6,7] -> [185,215]/(896, 476), color is ((119, 124, 121))
problem with field [7,7] -> [215,215]/(896, 476), color is ((119, 124, 121))
problem with field [8,7] -> [245,215]/(896, 476), color is ((119, 124, 121))
problem with field [9,7] -> [275,215]/(896, 476), color is ((119, 124, 121))
problem with field [10,7] -> [305,215]/(896, 476), color is ((119, 124, 121))
problem with field [11,7] -> [335,215]/(896, 476), color is ((119, 124, 121))
problem with field [12,7] -> [365,215]/(896, 476), color is ((119, 124, 121))
problem with field [13,7] -> [395,215]/(896, 476), color is ((119, 124, 121))
problem with field [14,7] -> [425,215]/(896, 476), color is ((119, 124, 121))
problem with field [15,7] -> [455,215]/(896, 476), color is ((119, 124, 121))
problem with field [16,7] -> [485,215]/(896, 476), color is ((119, 124, 121))
problem with field [17,7] -> [515,215]/(896, 476), color is ((119, 124, 121))
problem with field [18,7] -> [545,215]/(896, 476), color is ((119, 124, 121))
problem with field [19,7] -> [575,215]/(896, 476), color is ((119, 124, 121))
problem with field [20,7] -> [605,215]/(896, 476), color is ((119, 124, 121))
problem with field [21,7] -> [635,215]/(896, 476), color is ((119, 124, 121))
problem with field [22,7] -> [665,215]/(896, 476), color is ((119, 124, 121))
problem with field [23,7] -> [695,215]/(896, 476), color is ((119, 124, 121))
problem with field [24,7] -> [725,215]/(896, 476), color is ((119, 124, 121))
problem with field [25,7] -> [755,215]/(896, 476), color is ((119, 124, 121))
problem with field [26,7] -> [785,215]/(896, 476), color is ((119, 124, 121))
problem with field [27,7] -> [815,215]/(896, 476), color is ((119, 124, 121))
problem with field [28,7] -> [845,215]/(896, 476), color is ((119, 124, 121))
problem with field [29,7] -> [875,215]/(896, 476), color is ((119, 124, 121))
problem with field [0,8] -> [5,245]/(896, 476), color is ((119, 124, 121))
problem with field [1,8] -> [35,245]/(896, 476), color is ((119, 124, 121))
problem with field [2,8] -> [65,245]/(896, 476), color is ((119, 124, 121))
problem with field [3,8] -> [95,245]/(896, 476), color is ((119, 124, 121))
problem with field [4,8] -> [125,245]/(896, 476), color is ((119, 124, 121))
problem with field [5,8] -> [155,245]/(896, 476), color is ((119, 124, 121))
problem with field [6,8] -> [185,245]/(896, 476), color is ((119, 124, 121))
problem with field [7,8] -> [215,245]/(896, 476), color is ((119, 124, 121))
problem with field [8,8] -> [245,245]/(896, 476), color is ((119, 124, 121))
problem with field [9,8] -> [275,245]/(896, 476), color is ((119, 124, 121))
problem with field [10,8] -> [305,245]/(896, 476), color is ((119, 124, 121))
problem with field [11,8] -> [335,245]/(896, 476), color is ((119, 124, 121))
problem with field [12,8] -> [365,245]/(896, 476), color is ((119, 124, 121))
problem with field [13,8] -> [395,245]/(896, 476), color is ((119, 124, 121))
problem with field [14,8] -> [425,245]/(896, 476), color is ((119, 124, 121))
problem with field [15,8] -> [455,245]/(896, 476), color is ((119, 124, 121))
problem with field [16,8] -> [485,245]/(896, 476), color is ((119, 124, 121))
problem with field [17,8] -> [515,245]/(896, 476), color is ((119, 124, 121))
problem with field [18,8] -> [545,245]/(896, 476), color is ((119, 124, 121))
problem with field [19,8] -> [575,245]/(896, 476), color is ((119, 124, 121))
problem with field [20,8] -> [605,245]/(896, 476), color is ((119, 124, 121))
problem with field [21,8] -> [635,245]/(896, 476), color is ((119, 124, 121))
problem with field [22,8] -> [665,245]/(896, 476), color is ((119, 124, 121))
problem with field [23,8] -> [695,245]/(896, 476), color is ((119, 124, 121))
problem with field [24,8] -> [725,245]/(896, 476), color is ((119, 124, 121))
problem with field [25,8] -> [755,245]/(896, 476), color is ((119, 124, 121))
problem with field [26,8] -> [785,245]/(896, 476), color is ((119, 124, 121))
problem with field [27,8] -> [815,245]/(896, 476), color is ((119, 124, 121))
problem with field [28,8] -> [845,245]/(896, 476), color is ((119, 124, 121))
problem with field [29,8] -> [875,245]/(896, 476), color is ((119, 124, 121))
problem with field [0,9] -> [5,275]/(896, 476), color is ((119, 124, 121))
problem with field [1,9] -> [35,275]/(896, 476), color is ((119, 124, 121))
problem with field [2,9] -> [65,275]/(896, 476), color is ((119, 124, 121))
problem with field [3,9] -> [95,275]/(896, 476), color is ((119, 124, 121))
problem with field [4,9] -> [125,275]/(896, 476), color is ((119, 124, 121))
problem with field [5,9] -> [155,275]/(896, 476), color is ((119, 124, 121))
problem with field [6,9] -> [185,275]/(896, 476), color is ((119, 124, 121))
problem with field [7,9] -> [215,275]/(896, 476), color is ((119, 124, 121))
problem with field [8,9] -> [245,275]/(896, 476), color is ((119, 124, 121))
problem with field [9,9] -> [275,275]/(896, 476), color is ((119, 124, 121))
problem with field [10,9] -> [305,275]/(896, 476), color is ((119, 124, 121))
problem with field [11,9] -> [335,275]/(896, 476), color is ((119, 124, 121))
problem with field [12,9] -> [365,275]/(896, 476), color is ((119, 124, 121))
problem with field [13,9] -> [395,275]/(896, 476), color is ((119, 124, 121))
problem with field [14,9] -> [425,275]/(896, 476), color is ((119, 124, 121))
problem with field [15,9] -> [455,275]/(896, 476), color is ((119, 124, 121))
problem with field [16,9] -> [485,275]/(896, 476), color is ((119, 124, 121))
problem with field [17,9] -> [515,275]/(896, 476), color is ((119, 124, 121))
problem with field [18,9] -> [545,275]/(896, 476), color is ((119, 124, 121))
problem with field [19,9] -> [575,275]/(896, 476), color is ((119, 124, 121))
problem with field [20,9] -> [605,275]/(896, 476), color is ((119, 124, 121))
problem with field [21,9] -> [635,275]/(896, 476), color is ((119, 124, 121))
problem with field [22,9] -> [665,275]/(896, 476), color is ((119, 124, 121))
